Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,Credit_History_Missing,Self_Employed_Missing,LoanAmount_Missing,Total_Income,Log_Total_Income,Log_ApplicantIncome,Log_CoapplicantIncome,Log_LoanAmount,Income_to_Loan_Ratio,EMI,Balance_Income,Has_Many_Dependents
Male,Yes,2,Graduate,No,3200.0,700.0,70.0,360.0,1.0,Urban,1,0,0,0,3900.0,8.268988209506656,8.071218539969863,6.55250788703459,4.2626798770413155,55.714285714285715,583.3333333333334,3316.6666666666665,0
Male,Yes,2,Graduate,No,2500.0,1840.0,109.0,360.0,1.0,Urban,1,0,1,0,4340.0,8.375860015299594,7.824445930877619,7.518064181233078,4.700480365792417,39.81651376146789,908.3333333333334,3431.6666666666665,0
Male,Yes,2,Graduate,No,3073.0,5743.125,200.0,360.0,1.0,Urban,1,0,0,0,11179.0,9.32188174670909,8.03073492409854,9.000483164987708,5.303304908059076,55.895,1666.6666666666667,9512.333333333334,0
Male,No,0,Graduate,No,1853.0,2840.0,114.0,360.0,1.0,Rural,0,0,0,0,4693.0,8.454040376410969,7.5251007461258,7.951911381854188,4.74493212836325,41.166666666666664,950.0,3743.0,0
Male,Yes,2,Graduate,No,1299.0,1086.0,17.0,120.0,1.0,Urban,1,0,0,0,2385.0,7.777373602657861,7.170119543449628,6.99117688712121,2.8903717578961645,140.2941176470588,141.66666666666666,2243.3333333333335,0
Male,No,0,Graduate,No,4950.0,0.0,125.0,360.0,1.0,Urban,1,0,0,0,4950.0,8.507344855361422,8.507344855361422,0.0,4.836281906951478,39.6,1041.6666666666667,3908.333333333333,0
Male,No,1,Not Graduate,No,3596.0,0.0,100.0,240.0,0.76,Urban,1,1,0,0,3596.0,8.187855443695623,8.187855443695623,0.0,4.61512051684126,35.96,833.3333333333334,2762.6666666666665,0
Female,No,0,Graduate,No,3510.0,0.0,76.0,360.0,0.0,Urban,0,0,0,0,3510.0,8.163656176168432,8.163656176168432,0.0,4.343805421853684,46.18421052631579,633.3333333333334,2876.6666666666665,0
Male,Yes,0,Not Graduate,No,4887.0,0.0,133.0,360.0,1.0,Rural,0,0,0,0,4887.0,8.494538500851432,8.494538500851432,0.0,4.897839799950911,36.744360902255636,1108.3333333333333,3778.666666666667,0
Male,Yes,0,Graduate,No,2600.0,3500.0,115.0,360.0,1.0,Urban,1,0,1,0,6100.0,8.716207971151853,7.8636512654486515,8.160803920954665,4.7535901911063645,53.04347826086956,958.3333333333334,5141.666666666667,0
Male,Yes,0,Not Graduate,No,7660.0,0.0,104.0,360.0,0.0,Urban,0,0,0,0,7660.0,8.94389780251682,8.94389780251682,0.0,4.653960350157523,73.65384615384616,866.6666666666666,6793.333333333333,0
Male,Yes,1,Graduate,No,5955.0,5625.0,270.0,360.0,1.0,Urban,1,0,0,0,11580.0,9.357121103184378,8.6921543938039,8.635153989049803,5.755742213586912,36.76190476190476,2625.0,8955.0,0
Male,Yes,0,Not Graduate,No,2600.0,1911.0,116.0,360.0,0.0,Semiurban,0,0,0,0,4511.0,8.414495793177895,7.8636512654486515,7.555905093611346,4.762173934797756,38.88793103448276,966.6666666666666,3544.3333333333335,0
Male,Yes,2,Not Graduate,No,3365.0,1917.0,112.0,360.0,0.0,Rural,0,0,0,0,5282.0,8.572249397164315,8.121480374750751,7.559038255443384,4.727387818712341,47.160714285714285,933.3333333333334,4348.666666666667,0
Male,Yes,1,Graduate,No,3717.0,2925.0,151.0,360.0,0.96,Semiurban,0,1,1,0,6642.0,8.80131894766524,8.220941168281389,7.98139158158007,5.0238805208462765,43.98675496688742,1258.3333333333333,5383.666666666667,0
Male,Yes,0,Graduate,Yes,9560.0,0.0,191.0,360.0,1.0,Semiurban,1,0,0,0,9560.0,9.165447603085447,9.165447603085447,0.0,5.2574953720277815,50.05235602094241,1591.6666666666667,7968.333333333333,0
Male,Yes,0,Graduate,No,2799.0,2253.0,122.0,360.0,1.0,Semiurban,1,0,0,0,5052.0,8.527737405291909,7.937374696163295,7.720461694599722,4.812184355372417,41.40983606557377,1016.6666666666666,4035.3333333333335,0
Male,Yes,2,Not Graduate,No,4226.0,1040.0,110.0,360.0,1.0,Urban,1,0,0,0,5266.0,8.569216219483389,8.34924780056679,6.947937068614969,4.709530201312334,47.872727272727275,916.6666666666666,4349.333333333333,0
Male,No,0,Not Graduate,No,1442.0,0.0,35.0,360.0,1.0,Urban,0,0,0,0,1442.0,7.274479558773871,7.274479558773871,0.0,3.58351893845611,41.2,291.6666666666667,1150.3333333333333,0
Female,No,2,Graduate,No,3750.0,2083.0,120.0,360.0,1.0,Semiurban,1,0,1,0,5833.0,8.671458150427666,8.229777750081887,7.642044402873258,4.795790545596741,48.608333333333334,1000.0,4833.0,0
Male,Yes,1,Graduate,No,4166.0,3369.0,201.0,360.0,0.84,Urban,0,1,1,0,7535.0,8.927446816256198,8.334951631422454,8.122668023346407,5.308267697401205,37.48756218905473,1675.0,5860.0,0
Male,No,0,Graduate,No,3167.0,0.0,74.0,360.0,1.0,Urban,0,0,0,0,3167.0,8.060855752934316,8.060855752934316,0.0,4.31748811353631,42.7972972972973,616.6666666666666,2550.3333333333335,0
Male,No,1,Graduate,Yes,4692.0,0.0,106.0,360.0,1.0,Rural,0,0,0,0,4692.0,8.453827315794417,8.453827315794417,0.0,4.672828834461906,44.264150943396224,883.3333333333334,3808.6666666666665,0
Male,Yes,0,Graduate,No,3500.0,1667.0,114.0,360.0,1.0,Semiurban,1,0,0,0,5167.0,8.550241045462437,8.160803920954665,7.419380582918692,4.74493212836325,45.324561403508774,950.0,4217.0,0
Male,No,3,Graduate,No,10171.25,3000.0,270.0,360.0,1.0,Rural,0,0,0,0,15500.0,9.648659816955295,9.433563920090563,8.006700845440367,5.771441123130016,48.4375,2666.6666666666665,12833.333333333334,1
Male,Yes,0,Graduate,No,2275.0,2067.0,270.0,360.0,1.0,Urban,1,0,0,1,4342.0,8.376320632534823,7.730174795246222,7.63433723562832,5.771441123130016,13.56875,2666.6666666666665,1675.3333333333335,0
Male,Yes,0,Graduate,No,1828.0,1330.0,100.0,360.0,0.0,Urban,0,0,0,0,3158.0,8.058010800802085,7.511524648390866,7.193685818395112,4.61512051684126,31.58,833.3333333333334,2324.6666666666665,0
Female,Yes,0,Graduate,No,3667.0,1459.0,144.0,360.0,1.0,Semiurban,1,0,0,0,5126.0,8.5422759717837,8.207401833376355,7.286191714702382,4.976733742420574,35.59722222222222,1200.0,3926.0,0
Male,No,0,Graduate,No,4166.0,5743.125,184.0,360.0,1.0,Urban,1,0,0,0,11376.0,9.339349052539717,8.334951631422454,8.88336291691676,5.220355825078324,61.82608695652174,1533.3333333333333,9842.666666666666,0
Male,No,0,Not Graduate,No,3748.0,1668.0,110.0,360.0,1.0,Semiurban,1,0,0,0,5416.0,8.597297435657898,8.229244416735913,7.419979923661835,4.709530201312334,49.236363636363635,916.6666666666666,4499.333333333333,0
Male,No,0,Graduate,No,3600.0,0.0,80.0,360.0,1.0,Urban,0,0,0,0,3600.0,8.188966863648876,8.188966863648876,0.0,4.394449154672439,45.0,666.6666666666666,2933.3333333333335,0
Male,No,0,Graduate,No,1800.0,1213.0,47.0,360.0,1.0,Urban,1,0,0,0,3013.0,8.01102337918644,7.496097345175956,7.101675971619444,3.871201010907891,64.1063829787234,391.6666666666667,2621.3333333333335,0
Male,Yes,0,Graduate,No,2400.0,0.0,75.0,360.0,0.95,Urban,1,1,0,0,2400.0,7.783640596221253,7.783640596221253,0.0,4.330733340286331,32.0,625.0,1775.0,0
Male,Yes,0,Graduate,No,3941.0,2336.0,134.0,360.0,1.0,Semiurban,1,0,0,0,6277.0,8.744806737401898,8.279443487712665,7.756623334538858,4.90527477843843,46.843283582089555,1116.6666666666667,5160.333333333333,0
Male,Yes,0,Not Graduate,Yes,4695.0,0.0,96.0,360.0,1.0,Urban,1,0,0,0,4695.0,8.454466361507933,8.454466361507933,0.0,4.574710978503383,48.90625,800.0,3895.0,0
Female,No,0,Graduate,No,3410.0,0.0,88.0,360.0,1.0,Urban,1,0,0,0,3410.0,8.134760782418645,8.134760782418645,0.0,4.48863636973214,38.75,733.3333333333334,2676.6666666666665,0
Male,Yes,1,Graduate,No,5649.0,0.0,44.0,360.0,1.0,Urban,1,0,0,0,5649.0,8.639410824140487,8.639410824140487,0.0,3.8066624897703196,128.38636363636363,366.6666666666667,5282.333333333333,0
Male,Yes,0,Graduate,No,5821.0,0.0,144.0,360.0,1.0,Urban,1,0,0,0,5821.0,8.669399124305569,8.669399124305569,0.0,4.976733742420574,40.423611111111114,1200.0,4621.0,0
Female,Yes,0,Graduate,No,2645.0,3440.0,120.0,360.0,0.0,Urban,0,0,0,0,6085.0,8.713746330456916,7.880804344674901,8.14351740579748,4.795790545596741,50.708333333333336,1000.0,5085.0,0
Female,No,0,Graduate,No,4000.0,2275.0,144.0,360.0,1.0,Semiurban,1,0,0,0,6275.0,8.744488113852924,8.294299608857235,7.730174795246222,4.976733742420574,43.576388888888886,1200.0,5075.0,0
Female,Yes,0,Not Graduate,No,1928.0,1644.0,100.0,360.0,1.0,Semiurban,1,0,0,0,3572.0,8.181160858023409,7.564757012905729,7.405495663199472,4.61512051684126,35.72,833.3333333333334,2738.6666666666665,0
Female,No,0,Graduate,No,3086.0,0.0,120.0,360.0,1.0,Semiurban,1,0,0,0,3086.0,8.034955024502159,8.034955024502159,0.0,4.795790545596741,25.716666666666665,1000.0,2086.0,0
Female,No,0,Graduate,No,4230.0,0.0,112.0,360.0,1.0,Semiurban,0,0,0,0,4230.0,8.350193650720067,8.350193650720067,0.0,4.727387818712341,37.767857142857146,933.3333333333334,3296.6666666666665,0
Male,Yes,2,Graduate,No,4616.0,0.0,134.0,360.0,1.0,Urban,0,0,0,0,4616.0,8.43750042250699,8.43750042250699,0.0,4.90527477843843,34.44776119402985,1116.6666666666667,3499.333333333333,0
Female,Yes,1,Graduate,Yes,10171.25,0.0,270.0,360.0,0.0,Urban,0,0,0,0,11500.0,9.350189267092581,9.350189267092581,0.0,5.659482215759621,40.20979020979021,2383.3333333333335,9116.666666666666,0
Male,Yes,2,Graduate,No,2708.0,1167.0,97.0,360.0,1.0,Semiurban,1,0,0,0,3875.0,8.262558973010657,7.904334842085095,7.0630481633881725,4.584967478670572,39.94845360824742,808.3333333333334,3066.6666666666665,0
Male,Yes,0,Graduate,No,2132.0,1591.0,96.0,360.0,1.0,Semiurban,1,0,0,0,3723.0,8.222553638396958,7.665284718471351,7.3727463664043285,4.574710978503383,38.78125,800.0,2923.0,0
Male,Yes,0,Graduate,No,3366.0,2200.0,135.0,360.0,1.0,Rural,0,0,0,0,5566.0,8.624611588183507,8.121777419161074,7.696667081526462,4.912654885736052,41.22962962962963,1125.0,4441.0,0
Male,Yes,1,Graduate,No,8080.0,2250.0,180.0,360.0,1.0,Urban,1,0,0,0,10330.0,9.242904362849446,8.997270906233448,7.719129840906732,5.198497031265826,57.388888888888886,1500.0,8830.0,0
Male,Yes,2,Not Graduate,No,3357.0,2859.0,144.0,360.0,1.0,Urban,1,0,0,0,6216.0,8.735042754269337,8.119100837637486,7.958576903813898,4.976733742420574,43.166666666666664,1200.0,5016.0,0
Male,Yes,0,Graduate,No,2500.0,3796.0,120.0,360.0,1.0,Urban,1,0,0,0,6296.0,8.747828608488742,7.824445930877619,8.241966560231802,4.795790545596741,52.46666666666667,1000.0,5296.0,0
Male,Yes,3,Graduate,No,3029.0,0.0,99.0,360.0,1.0,Urban,1,0,0,0,3029.0,8.016317898503415,8.016317898503415,0.0,4.605170185988092,30.595959595959595,825.0,2204.0,1
Male,Yes,0,Not Graduate,Yes,2609.0,3449.0,165.0,180.0,0.0,Rural,0,0,0,0,6058.0,8.70930004894499,7.867105500316739,8.146129510025405,5.111987788356544,36.71515151515152,1375.0,4683.0,0
Male,Yes,1,Graduate,No,4945.0,0.0,165.0,360.0,0.0,Rural,0,0,0,1,4945.0,8.506334448081361,8.506334448081361,0.0,5.111987788356544,29.96969696969697,1375.0,3570.0,0
Female,No,0,Graduate,No,4166.0,0.0,116.0,360.0,0.0,Semiurban,0,0,0,0,4166.0,8.334951631422454,8.334951631422454,0.0,4.762173934797756,35.91379310344828,966.6666666666666,3199.3333333333335,0
Male,Yes,0,Graduate,No,5726.0,4595.0,258.0,360.0,1.0,Semiurban,0,0,0,0,10321.0,9.242032818708672,8.652947112393857,8.432941638968646,5.556828061699537,40.00387596899225,2150.0,8171.0,0
Male,No,0,Not Graduate,No,3200.0,2254.0,126.0,180.0,0.0,Urban,0,0,0,0,5454.0,8.604287898267172,8.071218539969863,7.720905251936779,4.844187086458591,43.285714285714285,1050.0,4404.0,0
Male,Yes,1,Graduate,No,10171.25,0.0,270.0,360.0,1.0,Urban,1,0,0,0,10750.0,9.282754052485227,9.282754052485227,0.0,5.746203190540153,34.455128205128204,2600.0,8150.0,0
Male,Yes,3,Not Graduate,Yes,7100.0,0.0,125.0,60.0,1.0,Urban,1,0,0,0,7100.0,8.867990898182093,8.867990898182093,0.0,4.836281906951478,56.8,1041.6666666666667,6058.333333333333,1
Female,No,0,Graduate,No,4300.0,0.0,136.0,360.0,0.0,Semiurban,0,0,0,0,4300.0,8.366602832783736,8.366602832783736,0.0,4.919980925828125,31.61764705882353,1133.3333333333333,3166.666666666667,0
Male,Yes,0,Graduate,No,3208.0,3066.0,172.0,360.0,1.0,Urban,1,0,0,0,6274.0,8.744328763999984,8.073714641109857,8.028455164114252,5.153291594497779,36.47674418604651,1433.3333333333333,4840.666666666667,0
Male,Yes,2,Not Graduate,Yes,1875.0,1875.0,97.0,360.0,1.0,Semiurban,1,0,0,0,3750.0,8.229777750081887,7.53689712956617,7.53689712956617,4.584967478670572,38.65979381443299,808.3333333333334,2941.6666666666665,0
Male,No,0,Graduate,No,3500.0,0.0,81.0,300.0,1.0,Semiurban,1,0,0,0,3500.0,8.160803920954665,8.160803920954665,0.0,4.406719247264253,43.20987654320987,675.0,2825.0,0
Male,Yes,3,Not Graduate,No,4755.0,0.0,95.0,300.0,0.0,Semiurban,0,0,0,0,4755.0,8.467162257810672,8.467162257810672,0.0,4.564348191467836,50.05263157894737,791.6666666666666,3963.3333333333335,1
Male,Yes,3,Graduate,Yes,5266.0,1774.0,187.0,360.0,1.0,Semiurban,1,0,0,0,7040.0,8.859505484519133,8.569216219483389,7.4815557019095165,5.236441962829949,37.64705882352941,1558.3333333333333,5481.666666666667,1
Male,No,0,Graduate,No,3750.0,0.0,113.0,480.0,1.0,Urban,0,0,0,0,3750.0,8.229777750081887,8.229777750081887,0.0,4.736198448394496,33.1858407079646,941.6666666666666,2808.3333333333335,0
Male,No,0,Graduate,No,3750.0,4750.0,176.0,360.0,1.0,Urban,0,0,0,0,8500.0,9.04793908261736,8.229777750081887,8.46611040118692,5.176149732573829,48.29545454545455,1466.6666666666667,7033.333333333333,0
Male,Yes,1,Graduate,Yes,1000.0,3022.0,110.0,360.0,1.0,Urban,0,0,0,0,4022.0,8.299783171949787,6.90875477931522,8.014004994779459,4.709530201312334,36.56363636363636,916.6666666666666,3105.3333333333335,0
Male,Yes,3,Graduate,No,3167.0,4000.0,180.0,300.0,0.0,Semiurban,0,0,0,0,7167.0,8.877381954654766,8.060855752934316,8.294299608857235,5.198497031265826,39.81666666666667,1500.0,5667.0,1
Male,Yes,3,Not Graduate,Yes,3333.0,2166.0,130.0,360.0,0.74,Semiurban,1,1,0,0,5499.0,8.612503371220562,8.111928063310739,7.681099001536359,4.875197323201151,42.3,1083.3333333333333,4415.666666666667,1
Female,No,0,Graduate,No,3846.0,0.0,111.0,360.0,1.0,Semiurban,1,0,0,0,3846.0,8.255048902752295,8.255048902752295,0.0,4.718498871295094,34.648648648648646,925.0,2921.0,0
Male,Yes,1,Graduate,Yes,2395.0,0.0,111.0,360.0,1.0,Semiurban,1,0,0,1,2395.0,7.78155595923534,7.78155595923534,0.0,4.718498871295094,21.576576576576578,925.0,1470.0,0
Female,Yes,2,Graduate,No,1378.0,1881.0,167.0,360.0,1.0,Urban,0,0,0,0,3259.0,8.089482474360754,7.229113877793302,7.540090320145325,5.123963979403259,19.51497005988024,1391.6666666666667,1867.3333333333333,0
Male,Yes,0,Graduate,No,6000.0,2250.0,265.0,360.0,0.99,Semiurban,0,1,0,0,8250.0,9.018089684104343,8.699681400989514,7.719129840906732,5.583496308781699,31.132075471698112,2208.3333333333335,6041.666666666666,0
Male,Yes,1,Graduate,No,3988.0,0.0,50.0,240.0,1.0,Urban,1,0,0,0,3988.0,8.291295851905407,8.291295851905407,0.0,3.9318256327243257,79.76,416.6666666666667,3571.3333333333335,0
Male,No,0,Graduate,No,2366.0,2531.0,136.0,360.0,1.0,Semiurban,1,0,0,0,4897.0,8.496582237512113,7.769378609513984,7.836764783264067,4.919980925828125,36.00735294117647,1133.3333333333333,3763.666666666667,0
Male,Yes,2,Not Graduate,No,3333.0,2000.0,99.0,360.0,0.82,Semiurban,1,1,0,0,5333.0,8.58185670474196,8.111928063310739,7.601402334583733,4.605170185988092,53.86868686868687,825.0,4508.0,0
Male,Yes,0,Graduate,No,2500.0,2118.0,104.0,360.0,1.0,Semiurban,1,0,0,0,4618.0,8.437933510430605,7.824445930877619,7.6586995582682995,4.653960350157523,44.40384615384615,866.6666666666666,3751.3333333333335,0
Male,No,0,Graduate,No,8566.0,0.0,210.0,360.0,1.0,Urban,1,0,0,0,8566.0,9.055672891964043,9.055672891964043,0.0,5.351858133476067,40.79047619047619,1750.0,6816.0,0
Male,Yes,0,Graduate,No,5695.0,4167.0,175.0,360.0,1.0,Semiurban,1,0,0,0,9862.0,9.196545660953994,8.647519453091812,8.335191583433202,5.170483995038151,56.354285714285716,1458.3333333333333,8403.666666666666,0
Male,Yes,0,Graduate,No,2958.0,2900.0,131.0,360.0,1.0,Semiurban,1,0,0,0,5858.0,8.675734219544788,7.99260665240021,7.972810784121404,4.882801922586371,44.717557251908396,1091.6666666666667,4766.333333333333,0
Male,Yes,2,Graduate,No,6250.0,5654.0,188.0,180.0,1.0,Semiurban,1,0,0,0,11904.0,9.384713758920963,8.740496729931813,8.640295388550221,5.241747015059643,63.319148936170215,1566.6666666666667,10337.333333333334,0
Male,Yes,2,Not Graduate,No,3273.0,1820.0,81.0,360.0,1.0,Urban,1,0,0,0,5093.0,8.535818655539403,8.09376775793108,7.507141079727608,4.406719247264253,62.876543209876544,675.0,4418.0,0
Male,No,0,Graduate,No,4133.0,0.0,122.0,360.0,1.0,Semiurban,1,0,0,0,4133.0,8.327000740241713,8.327000740241713,0.0,4.812184355372417,33.877049180327866,1016.6666666666666,3116.3333333333335,0
Male,No,0,Not Graduate,No,3620.0,0.0,25.0,120.0,1.0,Semiurban,1,0,0,0,3620.0,8.19450550976564,8.19450550976564,0.0,3.258096538021482,144.8,208.33333333333334,3411.6666666666665,0
Male,No,0,Graduate,No,6782.0,0.0,25.0,360.0,0.72,Urban,0,1,1,1,6782.0,8.82217476094608,8.82217476094608,0.0,3.258096538021482,271.28,208.33333333333334,6573.666666666667,0
Female,Yes,0,Graduate,No,2484.0,2302.0,137.0,360.0,1.0,Semiurban,1,0,0,0,4786.0,8.473659189392508,7.818027938530729,7.741967899820685,4.927253685157205,34.934306569343065,1141.6666666666667,3644.333333333333,0
Male,Yes,0,Graduate,No,1977.0,997.0,50.0,360.0,1.0,Semiurban,1,0,0,0,2974.0,7.99799931797973,7.589841512182657,6.905753276311464,3.9318256327243257,59.48,416.6666666666667,2557.3333333333335,0
Male,Yes,0,Not Graduate,No,4188.0,0.0,115.0,180.0,1.0,Semiurban,1,0,0,0,4188.0,8.340217320947035,8.340217320947035,0.0,4.7535901911063645,36.417391304347824,958.3333333333334,3229.6666666666665,0
Male,Yes,0,Graduate,No,1759.0,3541.0,131.0,360.0,1.0,Semiurban,1,0,0,0,5300.0,8.575650760987806,7.473069088032197,8.17244681834278,4.882801922586371,40.458015267175576,1091.6666666666667,4208.333333333333,0
Male,Yes,2,Not Graduate,No,4288.0,3263.0,133.0,180.0,1.0,Urban,1,0,0,0,7551.0,8.929567707825337,8.36380888451688,8.090708716083997,4.897839799950911,56.774436090225564,1108.3333333333333,6442.666666666667,0
Male,No,0,Graduate,No,4843.0,3806.0,151.0,360.0,1.0,Semiurban,1,0,0,0,8649.0,9.065314599925925,8.485496104672983,8.244596756382498,5.0238805208462765,57.27814569536424,1258.3333333333333,7390.666666666667,0
Male,Yes,0,Graduate,No,10171.25,0.0,151.0,360.0,1.0,Urban,1,0,0,1,13650.0,9.521568058002977,9.521568058002977,0.0,5.0238805208462765,90.39735099337749,1258.3333333333333,12391.666666666666,0
Male,Yes,0,Graduate,No,4652.0,3583.0,151.0,360.0,1.0,Semiurban,1,0,0,1,8235.0,9.01627006814768,8.445267451844648,8.18423477409482,5.0238805208462765,54.5364238410596,1258.3333333333333,6976.666666666667,0
Male,Yes,0,Graduate,No,3816.0,754.0,160.0,360.0,1.0,Urban,1,0,0,0,4570.0,8.427487278331744,8.247220052745229,6.626717749249025,5.081404364984463,28.5625,1333.3333333333333,3236.666666666667,0
Male,Yes,1,Graduate,No,3052.0,1030.0,100.0,360.0,1.0,Urban,1,0,0,0,4082.0,8.314587291319576,8.023879992734878,6.93828448401696,4.61512051684126,40.82,833.3333333333334,3248.6666666666665,0
Male,Yes,2,Graduate,No,10171.25,1126.0,225.0,360.0,1.0,Urban,1,0,0,0,12543.0,9.436997742590188,9.342946336524205,7.027314514039777,5.420534999272286,55.74666666666667,1875.0,10668.0,0
Male,No,0,Not Graduate,No,7333.0,0.0,120.0,360.0,1.0,Rural,0,0,1,0,7333.0,8.900276348631271,8.900276348631271,0.0,4.795790545596741,61.108333333333334,1000.0,6333.0,0
Male,Yes,2,Graduate,No,3800.0,3600.0,216.0,360.0,0.0,Urban,0,0,0,0,7400.0,8.909370405197466,8.24301946898925,8.188966863648876,5.37989735354046,34.25925925925926,1800.0,5600.0,0
Male,Yes,3,Not Graduate,No,2071.0,754.0,94.0,480.0,1.0,Semiurban,1,0,0,0,2825.0,7.946617563244473,7.6362696033793735,6.626717749249025,4.553876891600541,30.0531914893617,783.3333333333334,2041.6666666666665,1
Male,No,0,Graduate,No,5316.0,0.0,136.0,360.0,1.0,Urban,1,0,0,0,5316.0,8.57866451350434,8.57866451350434,0.0,4.919980925828125,39.088235294117645,1133.3333333333333,4182.666666666667,0
Female,Yes,0,Graduate,No,2929.0,2333.0,139.0,360.0,1.0,Semiurban,1,0,1,0,5262.0,8.56845648535378,7.982757702011113,7.755338812846501,4.941642422609304,37.856115107913666,1158.3333333333333,4103.666666666667,0
Male,Yes,0,Not Graduate,No,3572.0,4114.0,152.0,360.0,0.0,Rural,0,0,0,0,7686.0,8.947285869349132,8.181160858023409,8.32239411311117,5.030437921392435,50.56578947368421,1266.6666666666667,6419.333333333333,0
Female,No,1,Graduate,Yes,7451.0,0.0,152.0,360.0,1.0,Semiurban,1,0,0,1,7451.0,8.916237731721479,8.916237731721479,0.0,5.030437921392435,49.01973684210526,1266.6666666666667,6184.333333333333,0
Male,No,0,Graduate,No,5050.0,0.0,118.0,360.0,1.0,Semiurban,1,0,1,0,5050.0,8.527341522468053,8.527341522468053,0.0,4.77912349311153,42.79661016949152,983.3333333333334,4066.6666666666665,0
Male,Yes,1,Graduate,No,10171.25,0.0,185.0,180.0,1.0,Rural,1,0,0,0,14583.0,9.5876803163585,9.5876803163585,0.0,5.225746673713202,78.82702702702703,1541.6666666666667,13041.333333333334,0
Female,Yes,0,Graduate,No,3167.0,2283.0,154.0,360.0,1.0,Semiurban,1,0,0,0,5450.0,8.603554357064281,8.060855752934316,7.7336835707759,5.043425116919247,35.38961038961039,1283.3333333333333,4166.666666666667,0
Male,Yes,1,Graduate,No,2214.0,1398.0,85.0,360.0,0.89,Urban,1,1,0,0,3612.0,8.19229373114764,7.703007682479236,7.243512974665482,4.454347296253507,42.49411764705882,708.3333333333334,2903.6666666666665,0
Male,Yes,0,Graduate,No,5568.0,2142.0,175.0,360.0,1.0,Rural,0,0,0,0,7710.0,8.95040315983296,8.624970783589669,7.669961995473577,5.170483995038151,44.05714285714286,1458.3333333333333,6251.666666666667,0
Female,No,0,Graduate,No,10171.25,0.0,259.0,360.0,1.0,Urban,1,0,0,0,10408.0,9.250426095515468,9.250426095515468,0.0,5.560681631015528,40.18532818532819,2158.3333333333335,8249.666666666666,0
Male,Yes,0,Graduate,No,5667.0,2667.0,180.0,360.0,1.0,Rural,1,0,0,0,8334.0,9.028218795184895,8.64259160081057,7.889084407035514,5.198497031265826,46.3,1500.0,6834.0,0
Female,No,0,Graduate,No,4166.0,0.0,44.0,360.0,1.0,Semiurban,1,0,0,0,4166.0,8.334951631422454,8.334951631422454,0.0,3.8066624897703196,94.68181818181819,366.6666666666667,3799.3333333333335,0
Female,No,0,Graduate,No,2137.0,5743.125,137.0,360.0,0.0,Semiurban,1,0,0,0,11117.0,9.316320695513415,7.6676260915849905,9.10286651367095,4.927253685157205,81.14598540145985,1141.6666666666667,9975.333333333334,0
Male,Yes,2,Graduate,No,2957.0,0.0,81.0,360.0,1.0,Semiurban,1,0,0,0,2957.0,7.992268643270745,7.992268643270745,0.0,4.406719247264253,36.50617283950617,675.0,2282.0,0
